genbank	locusName	geneID
XM_015899810.1	LOC107334850	107334850
XM_015894386.1	LOC107329716	107329716
XM_015899202.1	LOC107334269	107334269
XM_015904012.1	LOC107338777	107338777
XM_015901187.1	LOC107336126	107336126
XM_015918247.1	LOC107351948	107351948
XM_015909901.1	LOC107344249	107344249
XR_001567256.1	LOC107356191	107356191
XR_001567914.1	LOC107358691	107358691
XR_001563178.1	LOC107339124	107339124
XR_001565508.1	LOC107349141	107349141
XR_001567577.1	LOC107357342	107357342
XM_015908720.1	LOC107343154	107343154
XR_001565964.1	LOC107350874	107350874
XM_015909933.1	LOC107344278	107344278
XM_015900118.1	LOC107335138	107335138
XR_001564315.1	LOC107343858	107343858
XM_015902637.1	LOC107337477	107337477
XM_015923827.1	LOC107357188	107357188
XM_015901139.1	LOC107336075	107336075
XM_015892289.1	LOC107327536	107327536
XM_015895711.1	LOC107331158	107331158
XM_015911173.1	LOC107345456	107345456
XM_015912449.1	LOC107346647	107346647
XM_015899709.1	LOC107334737	107334737
XM_015909890.1	LOC107344241	107344241
XM_015898973.1	LOC107334077	107334077
XR_001564453.1	LOC107344566	107344566
XM_015893488.1	LOC107328766	107328766
XM_015919017.1	LOC107352711	107352711
XM_015900426.1	LOC107335401	107335401
XM_015899688.1	LOC107334716	107334716
XM_015907618.1	LOC107342159	107342159
XM_015902959.1	LOC107337731	107337731
XM_015922253.1	LOC107355675	107355675
XR_001565226.1	LOC107348095	107348095
XM_015919991.1	LOC107353652	107353652
XM_015925111.1	LOC107358511	107358511
XM_015898672.1	LOC107333802	107333802
XM_015904127.1	LOC107338874	107338874
XM_015895732.1	LOC107331177	107331177
XR_001565833.1	LOC107350421	107350421
XR_001560830.1	LOC107328937	107328937
XM_015917554.1	LOC107351264	107351264
XM_015918386.1	LOC107352076	107352076
XM_015922724.1	LOC107356078	107356078
XR_001567962.1	LOC107358854	107358854
XM_015905264.1	LOC107339917	107339917
XR_001563142.1	LOC107338974	107338974
XM_015921150.1	LOC107354669	107354669
XM_015917099.1	LOC107350850	107350850
XR_001560904.1	LOC107329247	107329247
XR_001564055.1	LOC107342709	107342709
XM_015919666.1	LOC107353324	107353324
XM_015894035.1	LOC107329339	107329339
XM_015924869.1	LOC107358252	107358252
XR_001561374.1	LOC107330829	107330829
XR_001564309.1	LOC107343832	107343832
XM_015920511.1	LOC107354093	107354093
XM_015919682.1	LOC107353333	107353333
XM_015892885.1	LOC107328163	107328163
XM_015915331.1	LOC107349221	107349221
XM_015911163.1	LOC107345447	107345447
XR_001567347.1	LOC107356452	107356452
XM_015903367.1	LOC107338133	107338133
XM_015898257.1	LOC107333437	107333437
XM_015909322.1	LOC107343732	107343732
XM_015916590.1	LOC107350369	107350369
XM_015904739.1	LOC107339451	107339451
XR_001565189.1	LOC107347920	107347920
XR_001562722.1	LOC107336953	107336953
XR_001565094.1	LOC107347588	107347588
XM_015905605.1	LOC107340249	107340249
